docbook-xsl 1.79.2-7
docbook2x 0.8.8-18
docker 1:20.10.18-1
docker-compose 2.10.2-1
dolphin 22.08.0-1
dolphin-plugins 22.08.0-1
dosfstools 4.2-2
dotconf 1.3-6
dotnet-host 6.0.8.sdk108-1
dotnet-runtime 6.0.8.sdk108-1
dotnet-runtime-3.1 3.1.20.sdk120-1
dotnet-sdk 6.0.8.sdk108-1
dotnet-targeting-pack 6.0.8.sdk108-1
double-conversion 3.2.1-1
downgrade 11.2.1-1
doxygen 1.9.3-1
dragon 22.08.0-1
drkonqi 5.25.4-1
drone 2.12.1-1
dsniff 2.4b1-28
dtc 1.6.1-4
dtkcommon 5.5.22-1
dtkcore 1:5.5.30-1
dtkgui 5.5.22-3
dtkwidget 5.5.42-3
dtkwm 2.0.12-14
duktape 2.7.0-4
dune 3.4.1-2
dunst 1.9.0-1
dwm-git 6.3.r2.gbece862-1
e2fsprogs 1.46.5-4
ebook-tools 0.2.2-7
eclipse-common 4.15-6
edex-ui-git 3.0.0.pre-2
editorconfig-core-c 0.12.5-1
edk2-ovmf 202208-1
efibootmgr 18-1
efivar 38-2
egl-wayland 2:1.1.10-1
eglexternalplatform 1.1-2
electron 20.0.3-1
electron11 11.5.0-5
electron12 12.2.3-4
electron13 13.6.9-3
electron14 14.2.9-2
electron17 17.4.11-1
electron18 18.3.9-1
electron19 19.0.13-1
electron4 4.2.12-6
electron6-bin 6.1.12-4
electron7 7.1.14-7
elfutils 0.187-2
elinks 0.15.1-1
elisa 22.08.0-1
emacs-nox 28.1-7
encfs 1.9.5-5
enchant 2.3.3-1
epson-inkjet-printer-l805 1.0.0-2
erlang 25.0.3-1
eslint 8.23.0-1
etcher-bin 1.7.9-1
ethtool 1:5.19-1
eventviews 22.08.0-1
exiv2 0.27.5-3
exo 4.16.4-1
expat 2.4.8-1
expect 5.45.4-3
extra-cmake-modules 5.97.0-1
faac 1.30-3
faad2 2.10.0-1
fake-background-webcam-git r250.2d920dc-1
fakechroot 2.20.1-2
fakeroot 1.29-1
falkon 22.08.0-1
farstream 0.2.9-3
fatrace 0.16.3-1
fd 8.4.0-1
feh 3.9.1-2
ffmpeg 2:5.1-1
ffmpeg4.4 4.4.2-3
ffmpegthumbs 22.08.0-1
fftw 3.3.10-3
file 5.42-2
filelight 22.08.0-1
filesystem 2021.12.07-1
findutils 4.9.0-1
firefox 104.0.1-1
flac 1.3.4-3
flashplugin 32.0.0.465-1
flashrom 1.2-4
flatpak 1:1.14.0-1
flex 2.6.4-3
fltk 1.3.8-1
fluidsynth 2.2.8-1
fmt 8.1.1-2
font-manager 0.8.8-1
fontconfig 2:2.14.0-1
foomatic-db-engine 4:20220521-1
frameworkintegration 5.97.0-1
freecell-solver 6.6.0-1
freeglut 3.2.2-2
freerdp 2:2.8.0-1
freetype2 2.12.1-1
freetype2-demos 2.12.1-1
frei0r-plugins 1.8.0-2
fribidi 1.0.12-1
fuse-common 3.11.0-1
fuse2 2.9.9-4
fuse3 3.11.0-1
fwupd 1.8.4-1
fwupd-efi 1.3-1
fzf 0.33.0-1
gamin 0.1.10-9
garcon 4.16.1-1
gavl 1.4.0-6
gawk 5.1.1-1
gc 8.2.0-3
gcab 1.5-1
gcc 12.2.0-1
gcc-fortran 12.2.0-1
gcc-libs 12.2.0-1
gcc-objc 12.2.0-1
gconf 3.2.6+11+g07808097-10
gcr 3.41.1-2
gd 2.3.3-4
gdb 12.1-1
gdb-common 12.1-1
gdbm 1.23-1
gdk-pixbuf2 2.42.9-1
gdm 42.0+r11+g4a52f026-1
gendesk 1.0.9-3
geoclue 2.6.0-2
geocode-glib 3.26.4-1
geoip 1.6.12-2
geoip-database 20220823-1
gettext 0.21-2
ghc-libs 9.0.2-1
ghidra 10.1.5-2
ghostscript 9.56.1-1
giblib 1.2.4-9
giflib 5.2.1-2
git 2.37.3-1
github-cli 2.14.7-1
gjs 2:1.72.2-1
glew 2.2.0-5
glib-networking 1:2.72.2-1
glib-perl 1.329.3-3
glib2 2.72.3-1
glib2-docs 2.72.3-1
glibc 2.36-3
glibmm 2.66.4-1
glslang 11.11.0-1
glu 9.0.2-3
gmime3 3.2.13-1
gmp 6.2.1-2
gn 0.2050.9ef32177-1
gn-m85 0.1792.7d7e8dee-1
gnome-autoar 0.4.3-2
gnome-bluetooth 3.34.5-4
gnome-bluetooth-3.0 42.3-1
gnome-breeze-git 103.21c9617-1
gnome-common 3.18.0-4
gnome-desktop 1:42.4-1
gnome-desktop-common 1:42.4-1
gnome-disk-utility 42.0-1
gnome-keyring 1:42.1-1
gnome-online-accounts 3.44.0-1
gnome-session 42.0-1
gnome-settings-daemon 42.2-1
gnome-shell 1:42.4-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnu-netcat 0.7.1-8
gnugo 3.8-7
gnupg 2.2.37-1
gnustep-base 1.28.0-4
gnustep-make 2.9.0-1
gnutls 3.7.7-3
go 2:1.19-1
go-tools 4:0.1.12-1
gobject-introspection 1.72.0-1
gobject-introspection-runtime 1.72.0-1
golangci-lint-bin 1.49.0-1
google-chrome 105.0.5195.125-1
google-cloud-sdk 402.0.0-1
gp-saml-gui-git r61.451cdf8-1
gparted 1.4.0-1
gperf 3.1-3
gperftools 2.10-1
gpgme 1.18.0-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
gradle 7.5.1-1
granatier 22.08.0-1
grantlee 5.2.0-3
grantlee-editor 22.08.0-1
grantleetheme 22.08.0-1
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 5.0.1-1
grep 3.7-1
groff 1.22.4-7
grub 2:2.06.r322.gd9b4638c5-3
gsasl 2.0.0-1
gsettings-desktop-schemas 42.0-1
gsettings-qt 0.2-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.22-1
gsound 1.0.3-2
gssdp 1.4.0.1-1
gssproxy 0.9.1-2
gst-libav 1.20.3-1
gst-plugin-pipewire 1:0.3.56-1
gst-plugins-bad 1.20.3-1
gst-plugins-bad-libs 1.20.3-1
gst-plugins-base 1.20.3-1
gst-plugins-base-libs 1.20.3-1
gst-plugins-good 1.20.3-1
gstreamer 1.20.3-1
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.6.7-1
gtk-xfce-engine 2.10.1-2
gtk2 2.24.33-2
gtk2-perl 1.24993-4
gtk3 1:3.24.34-1
gtk4 1:4.6.7-1
gtkglext 1.2.0-13
gtkimageview 1.6.4-7
gtkmm 1:2.24.5-4
gtkmm3 3.24.6-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.3-1
gts 0.7.6.121130-2
guake 3.9.0-2
guile 2.2.7-2
guile2.0 2.0.14-6
gulp 4.0.2-3
gumbo-parser 0.10.1-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gutenprint 5.3.4-1
gvfs 1.50.2-1
gvfs-goa 1.50.2-1
gvfs-google 1.50.2-1
gwenview 22.08.0-1
gzip 1.12-1
harfbuzz 5.1.0-1
harfbuzz-icu 5.1.0-1
haskell-aeson 1.5.6.0-131
haskell-aeson-pretty 0.8.9-82
haskell-ansi-terminal 0.11.3-17
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-186
haskell-asn1-parse 0.9.5-186
haskell-asn1-types 0.3.4-165
haskell-assoc 1.0.2-155
haskell-async 2.2.4-102
haskell-attoparsec 0.14.4-32
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-2
haskell-base-orphans 0.8.7-9
haskell-base16-bytestring 1.0.2.0-38
haskell-base64-bytestring 1.2.1.0-60
haskell-basement 0.0.15-1
haskell-bifunctors 5.5.12-19
haskell-bitarray 0.0.1.1-23
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-182
haskell-blaze-markup 0.8.2.8-88
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-case-insensitive 1.2.1.0-161
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.7-17
haskell-cmark-gfm 0.2.3-27
haskell-cmdargs 0.10.21-4
haskell-colour 2.3.6-126
haskell-commonmark 0.2.2-12
haskell-commonmark-extensions 0.2.3.2-10
haskell-commonmark-pandoc 0.2.1.2-72
haskell-comonad 5.0.8-158
haskell-conduit 1.3.4.2-78
haskell-conduit-extra 1.3.6-19
haskell-connection 0.3.1-214
haskell-cookie 0.4.5-12
haskell-cryptonite 0.30-29
haskell-data-default 0.7.1.1-245
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-258
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-60
haskell-digest 0.0.1.3-2
haskell-distributive 0.6.2.1-161
haskell-dlist 1.0-180
haskell-doclayout 0.4-9
haskell-doctemplates 0.10.0.2-11
haskell-emojis 0.1.2-32
haskell-erf 2.0.0.0-24
haskell-errors 2.3.0-65
haskell-file-embed 0.0.15.0-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-48
haskell-haddock-library 1.10.0-163
haskell-hashable 1.4.1.0-9
haskell-hourglass 0.2.12-204
haskell-hslua 2.2.0-21
haskell-hslua-aeson 2.2.0.1-11
haskell-hslua-classes 2.2.0-17
haskell-hslua-core 2.2.1-11
haskell-hslua-marshalling 2.2.1-5
haskell-hslua-module-doclayout 1.0.4-44
haskell-hslua-module-path 1.0.3-3
haskell-hslua-module-system 1.0.2-4
haskell-hslua-module-text 1.0.2-6
haskell-hslua-module-version 1.0.2-3
haskell-hslua-objectorientation 2.2.1-1
haskell-hslua-packaging 2.2.0.1-12
haskell-hsyaml 0.2.1.1-16
haskell-http 4000.4.1-34
haskell-http-client 0.7.13.1-4
haskell-http-client-tls 0.3.6.1-48
haskell-http-types 0.12.3-259
haskell-hxt 9.3.1.22-84
haskell-hxt-charproperties 9.5.0.0-4
haskell-hxt-regex-xmlschema 9.2.0.7-5
haskell-hxt-unicode 9.0.2.4-25
haskell-indexed-traversable 0.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-36
haskell-ipynb 0.2-41
haskell-jira-wiki-markup 1.4.0-71
haskell-juicypixels 3.3.7-28
haskell-lexer 1.1-11
haskell-libyaml 0.1.2-242
haskell-lpeg 1.0.3-7
haskell-lua 2.2.1-8
haskell-memory 0.17.0-25
haskell-mime-types 0.1.0.9-14
haskell-mono-traversable 1.0.15.3-75
haskell-network 3.1.2.7-36
haskell-network-uri 2.6.4.1-94
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
